Timestamp,RSSI,Estimote TLM packet
1583845899178,-100,223e03d2aaf4265aa5000ffb400a48f8ffffffff
1583845899293,-100,223e03d2aaf4265aa501ffffffff380847302e61
1583845899386,-100,223e03d2aaf4265aa50010fb400a48f8ffffffff
1583845900139,-101,223e03d2aaf4265aa501ffffffff390848302e61
1583845900502,-98,22eeaf86657d2312d500c203fe0241f0ffffffff
1583845900928,-96,22eeaf86657d2312d500c101fd0241f0ffffffff
1583845901016,-100,22f32a65edd388bbd401ffffffff4325498c2f62
1583845901391,-103,003e03d2aaf4265aa5cb880e0f1e22d407946440
1583845901462,-96,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845901675,-100,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845902010,-99,22eeaf86657d2312d500c203fe0241f0ffffffff
1583845902638,-97,22eeaf86657d2312d500c101fe0241f0ffffffff
1583845903395,-94,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845903466,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845903576,-103,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845903616,-97,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845903689,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845903730,-92,22eeaf86657d2312d500c102fd0241f0ffffffff
1583845903796,-93,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845903845,-94,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845904057,-94,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845904207,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845904275,-95,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845904512,-97,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845904583,-100,223e03d2aaf4265aa50010fa400a48f8ffffffff
1583845904612,-99,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845904749,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845905131,-100,223e03d2aaf4265aa501ffffffff3e0848302e61
1583845905396,-101,223e03d2aaf4265aa501ffffffff3e0847302e61
1583845905573,-98,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845905666,-96,22eeaf86657d2312d500c102fd0241f0ffffffff
1583845905769,-96,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845906015,-97,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845906083,-99,22eeaf86657d2312d500c103fd0241f0ffffffff
1583845906291,-99,22eeaf86657d2312d500c203fd0241f0ffffffff
1583845906399,-98,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845906500,-102,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845908464,-102,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845911044,-99,22eeaf86657d2312d501ffffffff4f2442302e5f
1583845911143,-98,22eeaf86657d2312d501ffffffff4f2449302e5f
1583845911148,-99,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845911252,-98,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845911359,-97,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845911464,-96,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845911591,-98,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845911688,-98,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845911795,-98,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845911914,-98,22eeaf86657d2312d500c202fc0241f0ffffffff
1583845912022,-96,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845912136,-97,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845912238,-98,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845912354,-100,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845912681,-97,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845912789,-95,22eeaf86657d2312d500c203fe0241f0ffffffff
1583845913000,-94,22eeaf86657d2312d500c102fd0241f0ffffffff
1583845913114,-96,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845913212,-96,22eeaf86657d2312d500c203fd0241f0ffffffff
1583845913330,-95,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845913439,-96,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845913763,-97,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845913877,-98,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845914201,-100,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845914520,-101,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845914627,-98,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845914874,-100,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845915083,-98,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845915137,-102,223e03d2aaf4265aa50010fb400a48f8ffffffff
1583845915197,-95,22eeaf86657d2312d500c202fd0241f0ffffffff
1583845915312,-95,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845915423,-96,22eeaf86657d2312d500c002fe0241f0ffffffff
1583845915458,-101,223e03d2aaf4265aa501ffffffff480847302e61
1583845915651,-94,22eeaf86657d2312d500c001fd0241f0ffffffff
1583845915757,-96,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845915864,-96,22eeaf86657d2312d500c101fd0241f0ffffffff
1583845915973,-96,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845916079,-95,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845916193,-95,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845916219,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845916409,-96,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845916534,-95,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845916731,-96,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845916747,-94,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845916843,-96,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845916969,-96,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845917070,-95,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845917073,-95,22eeaf86657d2312d501ffffffff4f2442302e5f
1583845917082,-99,223e03d2aaf4265aa50010fb400a48f8ffffffff
1583845917173,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845917178,-94,22eeaf86657d2312d500c203fd0241f0ffffffff
1583845917274,-95,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845917283,-94,22eeaf86657d2312d501ffffffff4f2448302e5f
1583845917376,-94,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845917392,-94,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845917496,-95,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845917606,-94,22eeaf86657d2312d500c103fd0241f0ffffffff
1583845917696,-95,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845917707,-95,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845917806,-95,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845917811,-94,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845917912,-96,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845918017,-94,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845918130,-94,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845918231,-96,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845918649,-94,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845918756,-95,22eeaf86657d2312d501ffffffff4f2448302e5f
1583845918971,-94,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845923352,-98,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845923366,-97,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845923472,-99,22eeaf86657d2312d501ffffffff4f2442302e5f
1583845923578,-99,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845923666,-97,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845923679,-100,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845923893,-95,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845923999,-96,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845924341,-96,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845924557,-98,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845924665,-97,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845924780,-100,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845925253,-93,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845925312,-96,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845925414,-99,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845925526,-99,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845925745,-97,22eeaf86657d2312d500c102fe0241f0ffffffff
1583845925847,-94,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845926071,-99,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845926196,-97,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845926882,-96,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845926883,-97,22eeaf86657d2312d501ffffffff4f2443302e5f
1583845926932,-100,22eeaf86657d2312d501ffffffff4f2441302e5f
1583845927033,-97,22eeaf86657d2312d500c103fe0241f0ffffffff
1583845927133,-98,22eeaf86657d2312d501ffffffff4f2444302e5f
1583845927354,-95,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845927451,-95,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845927552,-102,223e03d2aaf4265aa501ffffffff540847302e61
1583845927566,-96,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845927778,-97,22eeaf86657d2312d501ffffffff4f2441302e5f
1583845927782,-95,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845928665,-100,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845928673,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845928674,-96,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845928674,-98,22eeaf86657d2312d501ffffffff4f2448302e5f
1583845928944,-93,00eeaf86657d2312d53aa04ff581ccbd35946440
1583845929051,-94,22eeaf86657d2312d501ffffffff4f2446302e5f
1583845929385,-99,22eeaf86657d2312d500c202fe0241f0ffffffff
1583845929494,-99,22eeaf86657d2312d501ffffffff4f2445302e5f
1583845929721,-97,22eeaf86657d2312d501ffffffff4f2446302e5f
